,instrument_token,tradingsymbol,name,instrument_type,segment,exchange
14508,264713,HANGSENG BEES-NAV,HANGSENG BEES-NAV,EQ,INDICES,NSE
14509,264969,INDIA VIX,INDIA VIX,EQ,INDICES,NSE
14510,260617,NIFTY 100,NIFTY 100,EQ,INDICES,NSE
14511,264457,NIFTY 200,NIFTY 200,EQ,INDICES,NSE
14512,256265,NIFTY 50,NIFTY 50,EQ,INDICES,NSE
14513,268041,NIFTY 500,NIFTY 500,EQ,INDICES,NSE
14514,265993,NIFTY ALPHA 50,NIFTY ALPHA 50,EQ,INDICES,NSE
14515,273673,NIFTY ALPHALOWVOL,NIFTY ALPHALOWVOL,EQ,INDICES,NSE
14516,263433,NIFTY AUTO,NIFTY AUTO,EQ,INDICES,NSE
14517,260105,NIFTY BANK,NIFTY BANK,EQ,INDICES,NSE
14518,257289,NIFTY COMMODITIES,NIFTY COMMODITIES,EQ,INDICES,NSE
14519,257545,NIFTY CONSUMPTION,NIFTY CONSUMPTION,EQ,INDICES,NSE
14520,268297,NIFTY CPSE,NIFTY CPSE,EQ,INDICES,NSE
14521,257033,NIFTY DIV OPPS 50,NIFTY DIV OPPS 50,EQ,INDICES,NSE
14522,261641,NIFTY ENERGY,NIFTY ENERGY,EQ,INDICES,NSE
14523,257801,NIFTY FIN SERVICE,NIFTY FIN SERVICE,EQ,INDICES,NSE
14524,261897,NIFTY FMCG,NIFTY FMCG,EQ,INDICES,NSE
14525,270345,NIFTY GROWSECT 15,NIFTY GROWSECT 15,EQ,INDICES,NSE
14526,269065,NIFTY GS 10YR,NIFTY GS 10YR,EQ,INDICES,NSE
14527,269321,NIFTY GS 10YR CLN,NIFTY GS 10YR CLN,EQ,INDICES,NSE
14528,269577,NIFTY GS 11 15YR,NIFTY GS 11 15YR,EQ,INDICES,NSE
14529,269833,NIFTY GS 15YRPLUS,NIFTY GS 15YRPLUS,EQ,INDICES,NSE
14530,268553,NIFTY GS 4 8YR,NIFTY GS 4 8YR,EQ,INDICES,NSE
14531,268809,NIFTY GS 8 13YR,NIFTY GS 8 13YR,EQ,INDICES,NSE
14532,270089,NIFTY GS COMPSITE,NIFTY GS COMPSITE,EQ,INDICES,NSE
14533,261385,NIFTY INFRA,NIFTY INFRA,EQ,INDICES,NSE
14534,259849,NIFTY IT,NIFTY IT,EQ,INDICES,NSE
14535,263945,NIFTY MEDIA,NIFTY MEDIA,EQ,INDICES,NSE
