Date,Open,High,Low,Close,Volume,None
2022-05-31T09:15:00+0530,255.0,261.7,255.0,261.15,46778,0
2022-05-31T09:16:00+0530,260.0,260.45,258.4,259.2,30820,0
2022-05-31T09:17:00+0530,259.65,261.4,259.25,261.3,21310,0
2022-05-31T09:18:00+0530,261.0,261.3,259.95,259.95,28795,0
2022-05-31T09:19:00+0530,260.3,260.9,259.2,260.5,13137,0
2022-05-31T09:20:00+0530,261.0,261.2,260.55,260.7,7373,0
2022-05-31T09:21:00+0530,261.0,261.5,260.5,260.65,8718,0
2022-05-31T09:22:00+0530,260.75,261.4,260.75,261.25,4005,0
2022-05-31T09:23:00+0530,261.25,262.5,261.0,262.25,10796,0
2022-05-31T09:24:00+0530,262.3,262.8,261.15,261.15,16968,0
2022-05-31T09:25:00+0530,261.1,261.35,260.2,261.3,11482,0
2022-05-31T09:26:00+0530,261.3,261.55,260.85,261.0,4164,0
2022-05-31T09:27:00+0530,261.0,264.4,260.6,264.0,13680,0
2022-05-31T09:28:00+0530,263.8,266.0,263.5,265.55,12574,0
2022-05-31T09:29:00+0530,265.55,265.9,264.1,264.1,13990,0
2022-05-31T09:30:00+0530,264.1,264.1,262.45,262.8,6736,0
2022-05-31T09:31:00+0530,262.8,262.8,262.2,262.5,7062,0
2022-05-31T09:32:00+0530,262.5,262.5,262.2,262.5,1045,0
2022-05-31T09:33:00+0530,262.5,262.9,262.4,262.85,2046,0
2022-05-31T09:34:00+0530,262.85,263.7,262.75,263.15,14626,0
2022-05-31T09:35:00+0530,263.1,263.5,262.9,263.05,2030,0
2022-05-31T09:36:00+0530,263.2,263.5,263.05,263.35,2123,0
2022-05-31T09:37:00+0530,263.5,263.65,263.0,263.5,6082,0
2022-05-31T09:38:00+0530,263.5,263.5,263.0,263.15,1570,0
2022-05-31T09:39:00+0530,263.15,263.35,263.1,263.1,1873,0
2022-05-31T09:40:00+0530,263.1,263.1,262.15,262.4,6534,0
2022-05-31T09:41:00+0530,262.2,262.4,262.0,262.0,3400,0
2022-05-31T09:42:00+0530,262.0,262.6,261.6,262.6,2209,0
2022-05-31T09:43:00+0530,262.6,262.7,261.9,262.3,4964,0
2022-05-31T09:44:00+0530,262.3,262.95,262.25,262.85,1525,0
2022-05-31T09:45:00+0530,262.85,263.0,262.7,263.0,1275,0
2022-05-31T09:46:00+0530,263.0,263.1,262.25,262.65,9212,0
2022-05-31T09:47:00+0530,262.65,262.7,262.0,262.0,3083,0
2022-05-31T09:48:00+0530,262.0,262.35,262.0,262.3,227,0
2022-05-31T09:49:00+0530,262.3,262.3,262.0,262.1,448,0
2022-05-31T09:50:00+0530,262.25,262.3,261.5,262.0,3175,0
2022-05-31T09:51:00+0530,262.0,262.95,261.95,262.85,1814,0
2022-05-31T09:52:00+0530,262.85,262.85,262.2,262.85,533,0
2022-05-31T09:53:00+0530,262.8,263.1,262.6,262.6,5642,0
2022-05-31T09:54:00+0530,263.0,263.1,262.6,262.75,1794,0
