                           0       1       2       3       4        5  6
0   2020-02-01T00:00:00+0530  318.05  327.10  306.85  311.65   899083  0
1   2020-02-03T00:00:00+0530  313.00  318.50  305.20  311.90   891292  0
2   2020-02-04T00:00:00+0530  315.15  326.05  308.85  315.15  1689198  0
3   2020-02-05T00:00:00+0530  315.25  330.00  312.65  325.80  1949328  0
4   2020-02-06T00:00:00+0530  328.15  333.15  311.70  315.35  1737455  0
5   2020-02-07T00:00:00+0530  316.00  327.25  314.40  318.05  1343990  0
6   2020-02-10T00:00:00+0530  319.90  338.95  318.60  335.00  2511702  0
7   2020-02-11T00:00:00+0530  339.95  379.45  338.15  362.55  9631620  0
8   2020-02-12T00:00:00+0530  367.80  374.10  333.40  338.75  5546067  0
9   2020-02-13T00:00:00+0530  322.65  335.30  318.60  322.50  3346344  0
10  2020-02-14T00:00:00+0530  325.40  331.85  315.05  317.90  1494141  0
11  2020-02-17T00:00:00+0530  322.20  330.00  319.00  321.50  1396387  0
12  2020-02-18T00:00:00+0530  322.35  325.20  298.95  309.20  1517911  0
13  2020-02-19T00:00:00+0530  312.20  344.65  311.95  339.00  4091649  0
14  2020-02-20T00:00:00+0530  339.15  347.05  325.50  329.70  1867374  0
15  2020-02-24T00:00:00+0530  328.55  328.55  310.85  312.75   972957  0
16  2020-02-25T00:00:00+0530  315.90  327.00  315.25  318.75  1439847  0
17  2020-02-26T00:00:00+0530  320.80  323.10  308.15  311.20   923327  0
18  2020-02-27T00:00:00+0530  313.25  313.50  298.75  306.45   840697  0
19  2020-02-28T00:00:00+0530  296.65  303.20  276.55  283.35  1002536  0
20  2020-03-02T00:00:00+0530  290.30  297.55  278.40  282.75   900987  0
21  2020-03-03T00:00:00+0530  287.50  294.35  279.40  290.65  1035016  0
22  2020-03-04T00:00:00+0530  293.15  300.45  285.45  295.50  1527392  0
23  2020-03-05T00:00:00+0530  297.75  303.55  291.75  295.80   835528  0
24  2020-03-06T00:00:00+0530  281.15  286.70  276.15  279.10   732047  0
25  2020-03-09T00:00:00+0530  273.80  273.80  240.85  251.10   797557  0
26  2020-03-11T00:00:00+0530  244.30  253.05  230.70  236.10   882920  0
27  2020-03-12T00:00:00+0530  219.75  219.75  188.90  190.15  1252930  0
28  2020-03-13T00:00:00+0530  171.60  209.15  171.20  207.05  1842090  0
29  2020-03-16T00:00:00+0530  198.20  206.50  188.50  193.35   864972  0
30  2020-03-17T00:00:00+0530  193.60  198.10  187.15  189.30   383876  0
31  2020-03-18T00:00:00+0530  193.05  196.15  173.85  181.25   874564  0
32  2020-03-19T00:00:00+0530  175.15  179.50  163.15  167.40   801403  0
33  2020-03-20T00:00:00+0530  171.45  177.00  158.90  165.15   746891  0
34  2020-03-23T00:00:00+0530  152.10  157.65  148.65  148.65   174729  0
35  2020-03-24T00:00:00+0530  149.35  154.85  135.25  144.00   340149  0
36  2020-03-25T00:00:00+0530  139.20  157.65  139.20  153.35   400842  0
37  2020-03-26T00:00:00+0530  156.65  165.00  153.00  161.00   420402  0
38  2020-03-27T00:00:00+0530  164.10  172.35  156.70  158.80   391758  0
39  2020-03-30T00:00:00+0530  156.70  158.90  152.10  155.85   717580  0
40  2020-03-31T00:00:00+0530  159.85  163.05  155.70  159.15   231071  0
41  2020-04-01T00:00:00+0530  160.35  168.70  159.50  163.95   470107  0                           0       1       2       3       4        5  6
0   2020-04-01T00:00:00+0530  160.35  168.70  159.50  163.95   470107  0
1   2020-04-03T00:00:00+0530  164.10  179.05  159.85  170.70  1256329  0
2   2020-04-07T00:00:00+0530  175.10  187.80  171.30  186.75   955255  0
3   2020-04-08T00:00:00+0530  188.05  205.45  187.15  204.00  1186166  0
4   2020-04-09T00:00:00+0530  213.85  214.20  210.20  214.20   495488  0
5   2020-04-13T00:00:00+0530  224.90  224.90  208.70  224.90   738707  0
6   2020-04-15T00:00:00+0530  236.10  236.10  219.40  235.80   676918  0
7   2020-04-16T00:00:00+0530  235.05  247.55  232.30  247.15   621976  0
8   2020-04-17T00:00:00+0530  253.00  258.10  246.15  249.70   492320  0
9   2020-04-20T00:00:00+0530  252.60  253.50  239.70  243.25   401448  0
10  2020-04-21T00:00:00+0530  240.60  253.50  231.15  243.90   621412  0
11  2020-04-22T00:00:00+0530  246.90  248.00  241.50  242.75   181880  0
12  2020-04-23T00:00:00+0530  242.55  248.25  241.50  243.80   168293  0
13  2020-04-24T00:00:00+0530  243.35  255.95  239.40  246.35   838660  0
14  2020-04-27T00:00:00+0530  248.80  252.95  244.30  246.15   348526  0
15  2020-04-28T00:00:00+0530  251.55  252.05  240.60  241.50   252717  0
16  2020-04-29T00:00:00+0530  241.50  247.70  241.50  242.35   334134  0
17  2020-04-30T00:00:00+0530  244.50  247.95  235.05  235.75   398012  0
18  2020-05-04T00:00:00+0530  230.45  247.50  230.45  241.45   703737  0
19  2020-05-05T00:00:00+0530  244.30  244.95  234.30  236.90   348041  0
20  2020-05-06T00:00:00+0530  239.70  241.05  234.15  236.15   258395  0
21  2020-05-07T00:00:00+0530  235.90  239.00  233.20  234.65   238673  0
22  2020-05-08T00:00:00+0530  236.90  239.30  231.40  233.60   242192  0
23  2020-05-11T00:00:00+0530  236.90  245.25  229.60  237.10  2594526  0
24  2020-05-12T00:00:00+0530  236.75  236.75  225.25  225.40   743789  0
25  2020-05-13T00:00:00+0530  230.45  231.40  217.35  219.85   622457  0
26  2020-05-14T00:00:00+0530  219.50  224.25  214.35  216.70   618137  0
27  2020-05-15T00:00:00+0530  218.30  219.15  209.30  211.95   294631  0
28  2020-05-18T00:00:00+0530  208.80  211.80  201.35  201.70   284213  0
29  2020-05-19T00:00:00+0530  206.10  206.10  194.15  196.70   345270  0
30  2020-05-20T00:00:00+0530  196.70  206.55  195.50  206.55   526914  0
31  2020-05-21T00:00:00+0530  206.40  212.80  204.35  207.20   449366  0
32  2020-05-22T00:00:00+0530  207.30  210.10  198.40  208.05   385569  0
33  2020-05-26T00:00:00+0530  209.00  210.10  202.80  205.85   282580  0
